date,open,high,low,close,volume,sma5,ema5,ema20,disparity,Slow_k,Slow_d,MACD,RSI,Diff,BPS,PER,PBR,EPS,DIV,DPS,3,6,9,KODEX국채선물10년,TIGER 국채3년,KOSEF 미국달러선물
2012-01-20,26600.0,27150.0,26200.0,26950.0,8726770.0,25890.0,25163.773709210764,23547.31610149731,1060.0,84.60502460502461,83.47159013825687,1604.583994337081,100.0,650.0,13841,6.01,1.95,4486,0.56,150,0.0,0.0,0.0,49960,86983,11230
2012-01-25,27000.0,28000.0,26900.0,27450.0,8693588.0,26300.0,25544.811424342304,23733.1581919022,1150.0,87.7920447411973,85.2305175469018,1801.0696997509767,100.0,500.0,13841,6.12,1.98,4486,0.55,150,0.0,0.0,0.0,49960,87000,11153
2012-01-26,27450.0,27450.0,26650.0,27050.0,9028099.0,26600.0,25795.676186951918,23891.103039906855,450.0,80.08788449466418,84.16165128029542,1767.1699760402735,100.0,-400.0,13841,6.03,1.95,4486,0.55,150,0.0,0.0,0.0,49930,87052,11103
2012-01-27,26850.0,27000.0,25900.0,26000.0,12062057.0,26750.0,25829.730155793266,23991.526704673193,-750.0,55.27306967984936,74.38433297190366,1440.6218894833328,100.0,-1050.0,13841,5.8,1.88,4486,0.58,150,0.0,0.0,0.0,50000,87088,11122
2012-01-30,25900.0,26750.0,25850.0,26250.0,7982762.0,26740.0,25899.77512982772,24099.073052069707,-490.0,34.35597599964964,56.572310058054434,1257.4461582431686,99.1869918699187,250.0,13841,5.85,1.9,4486,0.57,150,0.0,0.0,0.0,50130,87136,11167
2012-01-31,26350.0,27100.0,26200.0,26850.0,6048223.0,26720.0,26058.1459415231,24230.069573399724,130.0,27.260981912144715,38.96334253054795,1249.897426439802,96.62921348314607,600.0,13841,5.99,1.94,4486,0.56,150,0.0,0.0,0.0,50180,87132,11126
2012-02-01,26850.0,27200.0,26600.0,27200.0,5595741.0,26670.0,26248.45495126925,24371.49483180926,530.0,49.83042635658916,37.149128089461215,1288.9982730841257,84.90566037735849,350.0,13841,6.06,1.97,4486,0.55,150,0.0,0.0,0.0,50230,87162,11157
2012-02-02,27750.0,27750.0,26100.0,27300.0,15281596.0,26720.0,26423.71245939104,24510.94745886596,580.0,69.06747246022033,48.719626909651446,1295.4718544542193,71.42857142857143,100.0,13841,6.09,1.97,4486,0.55,150,0.0,0.0,0.0,50180,87152,11072
2012-02-03,26700.0,27200.0,26200.0,26300.0,11299302.0,26780.0,26403.0937161592,24596.1404370152,-480.0,61.45833333333335,60.11874405004766,1020.1552256154137,57.89473684210526,-1000.0,13841,5.86,1.9,4486,0.57,150,0.0,0.0,0.0,50190,87177,11072
2012-02-06,26550.0,26550.0,25900.0,26100.0,7061764.0,26750.0,26352.578096799334,24667.752797157333,-650.0,36.93693693693695,55.82091424349693,774.0862994708805,52.38095238095238,-200.0,13841,5.82,1.89,4486,0.57,150,0.0,0.0,0.0,50120,87113,11098
2012-02-07,26000.0,26250.0,25200.0,25400.0,9405339.0,26460.0,26193.815080666114,24702.621711578413,-1060.0,14.1127195306762,37.50266326698222,434.42293768621676,22.91666666666667,-700.0,13841,5.66,1.84,4486,0.59,150,0.0,0.0,0.0,50060,87108,11076
2012-02-08,25700.0,26600.0,25250.0,26500.0,8751100.0,26320.0,26244.845900555098,24788.211153884204,180.0,23.21144674085852,24.753701069490603,477.6601817625706,19.298245614035082,1100.0,13841,5.91,1.91,4486,0.57,150,0.0,0.0,0.0,49980,87041,11049
2012-02-09,26450.0,27150.0,26300.0,27050.0,7705120.0,26270.0,26379.03825046258,24895.915384651624,780.0,50.44117647058825,29.255114247374376,619.528354959024,10.526315789473685,550.0,13841,6.03,1.95,4486,0.55,150,0.0,0.0,0.0,50050,87049,11044
2012-02-10,27000.0,27300.0,26750.0,27000.0,5751848.0,26410.0,26482.531875385484,24996.109890144402,590.0,76.39822595704949,50.01694972283213,673.5273053010387,21.538461538461533,-50.0,13841,6.02,1.95,4486,0.56,150,0.0,0.0,0.0,50010,87072,11122
2012-02-13,27300.0,27400.0,26700.0,26850.0,4941208.0,26560.0,26543.776562821236,25084.3903715661,290.0,84.40476190476193,70.41472144413326,649.001995815237,37.662337662337656,-150.0,13841,5.99,1.94,4486,0.56,150,0.0,0.0,0.0,49980,87049,11112
2012-02-14,26850.0,27550.0,26650.0,27550.0,6615913.0,26990.0,26711.480469017697,25201.800353872473,560.0,86.90476190476193,82.56924992219116,780.2723807026814,79.12087912087912,700.0,13841,6.14,1.99,4486,0.54,150,0.0,0.0,0.0,50020,87080,11122
2012-02-15,29150.0,29450.0,28600.0,29000.0,20697390.0,27490.0,27092.90039084808,25382.66700368807,1510.0,86.90476190476193,86.07142857142863,1179.9188864854987,96.06299212598425,1450.0,13841,6.46,2.1,4486,0.52,150,0.0,0.0,0.0,50000,87052,11107
2012-02-16,28800.0,29400.0,28600.0,28700.0,9961359.0,27820.0,27360.750325706733,25540.635241607688,880.0,86.30952380952381,86.70634920634927,1312.0891951644844,100.0,-300.0,13841,6.4,2.07,4486,0.52,150,0.0,0.0,0.0,50050,87136,11197
