date,open,high,low,close,volume,sma5,ema5,ema20,disparity,Slow_k,Slow_d,MACD,RSI,Diff,BPS,PER,PBR,EPS,DIV,DPS,3,6,9,KODEX국채선물10년,TIGER 국채3년,KOSEF 미국달러선물
2012-01-20,21800.0,22100.0,21520.0,22100.0,512607.0,21092.0,21079.148361540363,20626.00568426111,1008.0,82.11382113821143,68.43860746299771,328.95200599859527,100.0,660.0,623257,10.43,1.77,105992,0.9,10000,0.0,0.0,0.0,49960,86983,11230
2012-01-25,21840.0,22500.0,21840.0,22280.0,455736.0,21428.0,21279.290301283636,20704.767318343915,852.0,96.44012944983824,82.900653253483,527.3493199721233,100.0,180.0,623257,10.51,1.79,105992,0.9,10000,0.0,0.0,0.0,49960,87000,11153
2012-01-26,22320.0,22420.0,21880.0,22260.0,353212.0,21736.0,21442.741917736363,20778.826017470394,524.0,92.55663430420715,90.37019496408556,625.514388084026,100.0,-20.0,623257,10.5,1.79,105992,0.9,10000,0.0,0.0,0.0,49930,87052,11103
2012-01-27,22400.0,22500.0,22220.0,22500.0,255060.0,22116.0,21618.951598113636,20860.786683305138,384.0,92.55663430420715,93.85113268608411,722.0103216091738,100.0,240.0,623257,10.61,1.81,105992,0.89,10000,0.0,0.0,0.0,50000,87088,11122
2012-01-30,22580.0,22600.0,22180.0,22300.0,327408.0,22288.0,21732.4596650947,20929.320650766796,12.0,86.8572455951097,90.65683806784129,709.6742078113493,100.0,-200.0,623257,10.52,1.79,105992,0.9,10000,0.0,0.0,0.0,50130,87136,11167
2012-01-31,22100.0,22400.0,21780.0,22140.0,434959.0,22296.0,21800.383054245583,20986.972048349333,-156.0,72.04155374887085,83.8184778827292,641.6087992408757,100.0,-160.0,623257,10.44,1.78,105992,0.9,10000,0.0,0.0,0.0,50180,87132,11126
2012-02-01,22140.0,22140.0,21560.0,21580.0,458731.0,22156.0,21763.652545204655,21015.211474618412,-576.0,39.34924605656317,66.08268180018119,446.8516067938908,86.11111111111111,-560.0,623257,10.18,1.73,105992,0.93,10000,0.0,0.0,0.0,50230,87162,11157
2012-02-02,21720.0,22080.0,21360.0,21600.0,448986.0,22024.0,21736.37712100388,21043.05854725563,-424.0,21.726784885714903,44.372528230382926,319.9551539911481,67.3076923076923,20.0,623257,10.19,1.73,105992,0.93,10000,0.0,0.0,0.0,50180,87152,11072
2012-02-03,21420.0,21680.0,21120.0,21320.0,357253.0,21788.0,21666.9809341699,21056.24623548155,-468.0,11.59714304875599,24.22439133034464,166.59046328501063,26.162790697674424,-280.0,623257,10.06,1.71,105992,0.94,10000,0.0,0.0,0.0,50190,87177,11072
2012-02-06,21680.0,21820.0,21320.0,21480.0,317585.0,21624.0,21635.817445141583,21076.424986172904,-144.0,20.33111740773035,17.885015114067034,106.8914287865482,1.17647058823529,160.0,623257,10.13,1.72,105992,0.93,10000,0.0,0.0,0.0,50120,87113,11098
2012-02-07,21540.0,21920.0,21460.0,21860.0,238611.0,21568.0,21673.181204284654,21113.73808206943,292.0,38.06251104045226,23.33025716564615,157.96529912758342,0.0,380.0,623257,10.31,1.75,105992,0.91,10000,0.0,0.0,0.0,50060,87108,11076
2012-02-08,21980.0,22000.0,21680.0,21840.0,236880.0,21620.0,21700.98433690388,21148.32198292327,220.0,58.558006535947754,38.98387832804341,178.99508444035018,8.125000000000014,-20.0,623257,10.3,1.75,105992,0.92,10000,0.0,0.0,0.0,49980,87041,11049
2012-02-09,21740.0,21800.0,21200.0,21680.0,480585.0,21636.0,21697.4869474199,21173.639983736448,44.0,70.39512774806896,55.67188177482294,147.9020951229577,12.977099236641223,-160.0,623257,10.23,1.74,105992,0.92,10000,0.0,0.0,0.0,50050,87049,11044
2012-02-10,21680.0,21680.0,21220.0,21240.0,372318.0,21620.0,21621.23912284992,21176.7999845109,-380.0,47.87878787878791,58.94397405426816,19.690384260946303,22.36842105263159,-440.0,623257,10.02,1.7,105992,0.94,10000,0.0,0.0,0.0,50010,87072,11122
2012-02-13,21380.0,21780.0,21340.0,21660.0,320760.0,21656.0,21627.6992690416,21199.809509058,4.0,42.04545454545458,53.43979005743711,41.73124487557652,59.09090909090909,420.0,623257,10.22,1.74,105992,0.92,10000,0.0,0.0,0.0,49980,87049,11112
2012-02-14,21680.0,21780.0,21480.0,21600.0,246511.0,21604.0,21623.082724201333,21218.866199102857,-4.0,37.500000000000036,42.47474747474746,39.41521652009396,60.46511627906977,-60.0,623257,10.19,1.73,105992,0.93,10000,0.0,0.0,0.0,50020,87080,11122
2012-02-15,21960.0,22760.0,21840.0,22700.0,570588.0,21776.0,21802.568936834447,21289.396380097958,924.0,67.88461538461543,49.14335664335664,298.67173222567726,76.71232876712328,1100.0,623257,10.71,1.82,105992,0.88,10000,0.0,0.0,0.0,50000,87052,11107
2012-02-16,22600.0,22800.0,22420.0,22700.0,308603.0,21980.0,21952.140780695372,21356.567981045675,720.0,79.94157740993188,61.7753975981824,445.5670359139476,85.83333333333333,0.0,623257,10.71,1.82,105992,0.88,10000,0.0,0.0,0.0,50050,87136,11197
2012-02-17,23180.0,23600.0,23120.0,23520.0,346676.0,22436.0,22213.450650579474,21459.588553376834,1084.0,95.42830307364869,81.08483195606529,715.2636623953185,94.34782608695652,820.0,623257,11.1,1.89,105992,0.85,10000,0.0,0.0,0.0,49990,87099,11134
2012-02-20,23560.0,23880.0,23320.0,23500.0,296550.0,22804.0,22427.875542149563,21556.75100321603,696.0,91.43257657792219,88.93415235383422,850.4691303556538,95.84664536741214,-20.0,623257,11.09,1.89,105992,0.85,10000,0.0,0.0,0.0,49940,87052,11130
2012-02-21,23500.0,23960.0,23300.0,23600.0,216328.0,23204.0,22623.229618457968,21654.04857449146,396.0,87.88190386078185,91.58092783745087,928.8321386378993,100.0,100.0,623257,11.13,1.89,105992,0.85,10000,0.0,0.0,0.0,50000,87108,11126
2012-02-22,23640.0,24000.0,23440.0,23940.0,235724.0,23452.0,22842.691348714972,21762.90340427758,488.0,87.79602207892157,89.03683417254183,1027.5643614545588,100.0,340.0,623257,11.29,1.92,105992,0.84,10000,0.0,0.0,0.0,49950,87095,11148
2012-02-23,23460.0,23580.0,23020.0,23200.0,465609.0,23552.0,22902.24279059581,21831.336575502457,-352.0,65.86291550295785,80.51361381422038,878.3055637422367,100.0,-740.0,623257,10.94,1.86,105992,0.86,10000,0.0,0.0,0.0,50020,87157,11184
2012-02-24,23060.0,23720.0,23060.0,23600.0,284960.0,23568.0,23018.53565882984,21915.558643335673,32.0,57.91785068457767,70.52559608881899,855.631826590612,100.0,400.0,623257,11.13,1.89,105992,0.85,10000,0.0,0.0,0.0,50020,87167,11157
2012-02-27,23480.0,23600.0,23180.0,23420.0,168265.0,23552.0,23085.446382358197,21987.198707938736,-132.0,39.45578231292521,54.41218283348686,771.9355461946943,97.94871794871796,-180.0,623257,11.05,1.88,105992,0.85,10000,0.0,0.0,0.0,50110,87193,11184
2012-02-28,23920.0,24000.0,23620.0,23700.0,333027.0,23572.0,23187.871985298498,22068.760674227367,128.0,56.46258503401364,51.278739343838794,763.612851790971,96.0,280.0,623257,11.18,1.9,105992,0.84,10000,0.0,0.0,0.0,50140,87227,11148
2012-02-29,23820.0,24180.0,23820.0,24120.0,345618.0,23608.0,23343.226654415415,22166.438737359396,512.0,68.3438892798499,54.754085542262864,834.3511360620287,91.48936170212767,420.0,623257,11.38,1.93,105992,0.83,10000,0.0,0.0,0.0,50155,87231,11076
2012-03-02,24300.0,24340.0,23580.0,23640.0,360682.0,23696.0,23392.688878679517,22236.60832129466,-56.0,69.84261376964582,64.88302936116975,736.2456206679963,90.9090909090909,-480.0,623257,11.15,1.9,105992,0.85,10000,0.0,0.0,0.0,50050,87162,11059
2012-03-05,23800.0,23820.0,23320.0,23480.0,223655.0,23672.0,23407.24073223293,22295.817448852056,-192.0,55.33405172413797,64.50685159121119,615.602750409118,78.26086956521739,-160.0,623257,11.08,1.88,105992,0.85,10000,0.0,0.0,0.0,49970,87124,11085
2012-03-06,23580.0,23860.0,23340.0,23600.0,211532.0,23708.0,23439.367276860772,22357.9213798591,-108.0,32.87518311922474,52.68394953766946,551.8625191288702,88.23529411764706,120.0,623257,11.13,1.89,105992,0.85,10000,0.0,0.0,0.0,49970,87117,11117
2012-03-07,23500.0,23660.0,23300.0,23440.0,230554.0,23656.0,23439.47273071731,22409.448933199143,-216.0,22.25819593973756,36.822476927700045,457.8013472732018,67.79661016949152,-160.0,623257,11.06,1.88,105992,0.85,10000,0.0,0.0,0.0,49970,87124,11148
2012-03-08,23600.0,23720.0,23300.0,23600.0,406211.0,23552.0,23466.22727559776,22466.14184114204,48.0,23.25289089994976,26.12875665297064,424.6278992563457,40.78947368421053,160.0,623257,11.13,1.89,105992,0.85,10000,0.0,0.0,0.0,50080,87177,11085
2012-03-09,23820.0,24620.0,23760.0,24600.0,365212.0,23744.0,23655.18939633147,22567.754134420993,856.0,46.93084693084697,30.813977923511384,629.2335052380404,55.88235294117647,1000.0,623257,11.6,1.97,105992,0.81,10000,0.0,0.0,0.0,50060,87152,11076
2012-03-12,24480.0,24520.0,24200.0,24200.0,236760.0,23888.0,23745.991163609557,22645.480128019994,312.0,65.1709401709402,45.11822600057892,637.4326483623008,70.45454545454545,-400.0,623257,11.42,1.94,105992,0.83,10000,0.0,0.0,0.0,50120,87218,11134
