date,open,high,low,close,volume,sma5,ema5,ema20,disparity,Slow_k,Slow_d,MACD,RSI,Diff,BPS,PER,PBR,EPS,DIV,DPS,3,6,9,KODEX국채선물10년,TIGER 국채3년,KOSEF 미국달러선물
2012-01-20,71567.0,71724.0,69371.0,70157.0,254618.0,70596.4,69851.22938429422,69872.7852183919,-439.3999999999942,83.8593167194278,88.45510398400876,1073.2185290316993,100.0,-1883.0,44633,20.27,5.01,11024,0.0,0,0.0,0.0,0.0,49960,86983,11230
2012-01-25,70471.0,70628.0,68117.0,68117.0,251599.0,70408.2,69562.1911535785,69789.17639846848,-2291.199999999997,50.5181180408058,76.92781753186144,389.6264012439642,89.09870250231697,-2040.0,44633,19.68,4.86,11024,0.0,0,0.0,0.0,0.0,49960,87000,11153
2012-01-26,68429.0,69527.0,67488.0,69058.0,250196.0,70157.0,69478.15929464875,69754.3584747319,-1099.0,29.95643922894398,54.77795799639251,188.97951777694107,70.2182458994171,941.0,44633,19.96,4.93,11024,0.0,0,0.0,0.0,0.0,49930,87052,11103
2012-01-27,69372.0,69372.0,67175.0,67960.0,182344.0,69466.4,69225.13274554063,69668.912833078,-1506.3999999999942,15.810539782046229,32.09503235059866,-199.4735077357618,33.33333333333333,-1098.0,44633,19.64,4.85,11024,0.0,0,0.0,0.0,0.0,50000,87088,11122
2012-01-30,68115.0,68899.0,66075.0,66233.0,239064.0,68305.0,68726.44395461719,69505.29793626476,-2072.0,16.74285818648359,20.836612399157918,-838.6364911327692,3.948692152917502,-1727.0,44633,19.14,4.73,11024,0.0,0,0.0,0.0,0.0,50130,87136,11167
2012-01-31,67644.0,67958.0,65290.0,66547.0,227379.0,67583.0,68363.20329551432,69364.42660596644,-1036.0,13.835131378581309,15.462843115703697,-1122.7780845743691,0.0,314.0,44633,19.23,4.75,11024,0.0,0,0.0,0.0,0.0,50180,87132,11126
2012-02-01,66702.0,67800.0,65290.0,65919.0,260649.0,67143.4,67955.83607959528,69200.35867234899,-1224.3999999999942,13.730170024652011,14.769386529905622,-1408.0451382510655,0.0,-628.0,44633,19.05,4.71,11024,0.0,0,0.0,0.0,0.0,50230,87162,11157
2012-02-02,66232.0,67330.0,65604.0,66076.0,232166.0,66547.0,67642.53006632939,69051.57968795142,-471.0,19.21627396220387,15.593858455145716,-1498.0301821115863,0.0,157.0,44633,19.09,4.72,11024,0.0,0,0.0,0.0,0.0,50180,87152,11072
2012-02-03,67018.0,68430.0,66547.0,68274.0,220172.0,66609.8,67747.7750552745,69014.55208376326,1664.199999999997,38.92761998137531,23.95802132274372,-981.4170281826373,2.105827912279537,2198.0,44633,19.73,4.87,11024,0.0,0,0.0,0.0,0.0,50190,87177,11072
2012-02-06,68586.0,69371.0,68116.0,69215.0,194170.0,67206.2,67992.31254606208,69024.09722263168,2008.800000000003,66.03828598481432,41.39405997613115,-414.6053788863792,27.27122290253186,941.0,44633,20.0,4.94,11024,0.0,0,0.0,0.0,0.0,50120,87113,11098
2012-02-07,69213.0,69213.0,67174.0,68587.0,175851.0,67614.2,68091.4271217184,69003.28306917303,972.8000000000029,86.54953774231052,63.8384812361667,-209.08072125096805,50.74172689235451,-628.0,44633,19.82,4.9,11024,0.0,0,0.0,0.0,0.0,50060,87108,11076
2012-02-08,68117.0,68744.0,66547.0,66861.0,218586.0,67802.6,67886.35593476534,68901.2695896886,-941.6000000000058,70.11171940924358,74.23318104545613,-489.4283651771839,67.79697624190064,-1726.0,44633,19.32,4.77,11024,0.0,0,0.0,0.0,0.0,49980,87041,11049
2012-02-09,67489.0,68117.0,65605.0,66704.0,251293.0,67928.2,67689.29661230445,68796.63770446533,-1224.199999999997,47.779968954465836,68.1470753686733,-680.3704880159494,100.0,-157.0,44633,19.28,4.76,11024,0.0,0,0.0,0.0,0.0,50050,87049,11044
2012-02-10,66233.0,68901.0,65291.0,68274.0,298134.0,67928.2,67786.74717692037,68771.7501947289,345.8000000000029,45.221209887660166,54.370966083789845,-400.1333402674063,100.0,1570.0,44633,19.73,4.87,11024,0.0,0,0.0,0.0,0.0,50010,87072,11122
2012-02-13,68273.0,69372.0,67489.0,68274.0,132240.0,67740.0,67867.95598076697,68748.04780450372,534.0,58.46324364349049,50.48814082853881,-218.39876415662002,79.32322566468908,0.0,44633,19.73,4.87,11024,0.0,0,0.0,0.0,0.0,49980,87049,11112
2012-02-14,68116.0,69213.0,67331.0,68744.0,139635.0,67771.4,68013.96331730581,68747.8550519083,972.6000000000058,76.9397298656455,60.20806113226538,10.056972677091835,64.73013493253373,470.0,44633,19.87,4.91,11024,0.0,0,0.0,0.0,0.0,50020,87080,11122
2012-02-15,69686.0,70628.0,68744.0,70628.0,168743.0,68524.8,68449.63609775483,68837.38576372218,2103.199999999997,85.90214816629911,73.76837389181169,596.1078306822892,82.86910613508101,1884.0,44633,20.41,5.04,11024,0.0,0,0.0,0.0,0.0,50000,87052,11107
2012-02-16,70155.0,71254.0,69214.0,69372.0,131790.0,69058.4,68603.36341479569,68862.84358449731,313.6000000000058,84.35010671665007,82.39732824953154,631.6271472351946,87.50829682729325,-1256.0,44633,20.05,4.95,11024,0.0,0,0.0,0.0,0.0,50050,87136,11197
2012-02-17,70155.0,70626.0,68900.0,68901.0,143925.0,69183.8,68652.96951232974,68864.66055666411,-282.8000000000029,69.486365968791,79.9128736172467,520.8569842913712,88.46813725490196,-471.0,44633,19.91,4.92,11024,0.0,0,0.0,0.0,0.0,49990,87099,11134
2012-02-20,68901.0,69529.0,67802.0,67960.0,126546.0,69121.0,68537.47459360812,68821.58148253725,-1161.0,41.49758187498524,65.1113515201421,213.4604738080816,95.83167396787468,-941.0,44633,19.64,4.85,11024,0.0,0,0.0,0.0,0.0,49940,87052,11130
2012-02-21,67960.0,70000.0,67960.0,70000.0,126435.0,69372.2,68781.22882800676,68877.69665003548,627.8000000000029,39.90909106125279,50.29767963500965,506.98446831629553,96.36237256719184,2040.0,44633,20.23,5.0,11024,0.0,0,0.0,0.0,0.0,50000,87108,11126
2012-02-22,70313.0,74236.0,69842.0,72511.0,346242.0,69748.8,69402.8573566723,69050.71109527188,2762.199999999997,50.965395811542095,44.124022915926695,1265.7930850572593,95.34676941315945,2511.0,44633,20.95,5.18,11024,0.0,0,0.0,0.0,0.0,49950,87095,11148
2012-02-23,73295.0,75335.0,72667.0,75336.0,386376.0,70941.6,70391.71446389359,69350.0105669256,4394.399999999994,78.95860487990426,56.61103058423303,2355.922311502378,96.87375547590601,2825.0,44633,21.77,5.38,11024,0.0,0,0.0,0.0,0.0,50020,87157,11184
2012-02-24,73924.0,75336.0,72982.0,74552.0,232982.0,72071.8,71085.09538657799,69597.72434945295,2480.199999999997,87.59880766141345,72.50760278428658,2752.00272391364,97.91611361826386,-784.0,44633,21.54,5.32,11024,0.0,0,0.0,0.0,0.0,50020,87167,11157
2012-02-27,75334.0,75334.0,72353.0,74708.0,226265.0,73421.4,71688.91282214833,69841.0708090028,1286.6000000000058,93.69767213119178,86.75169489083648,2940.6860607993585,100.0,156.0,44633,21.59,5.33,11024,0.0,0,0.0,0.0,0.0,50110,87193,11184
2012-02-28,73765.0,74706.0,72353.0,72982.0,177332.0,74017.8,71904.42735179026,69990.63886571696,-1035.800000000003,79.41099985655045,86.90249321638521,2550.1875636574405,100.0,-1726.0,44633,21.09,5.21,11024,0.0,0,0.0,0.0,0.0,50140,87227,11148
2012-02-29,72510.0,73609.0,71568.0,73296.0,175229.0,74174.8,72136.35612649188,70148.03701496853,-878.8000000000029,64.83301030937662,79.3138940990396,2308.452357011294,100.0,314.0,44633,21.18,5.23,11024,0.0,0,0.0,0.0,0.0,50155,87231,11076
2012-03-02,73610.0,74708.0,71099.0,74552.0,268744.0,74018.0,72538.96343874323,70357.74953806527,534.0,61.50315748748307,68.58238921780337,2388.4072369069036,95.37463126843657,1256.0,44633,21.54,5.32,11024,0.0,0,0.0,0.0,0.0,50050,87162,11059
2012-03-05,73294.0,73765.0,72353.0,72982.0,103146.0,73704.0,72612.80286561935,70482.71384577644,-722.0,57.273008093353134,61.20305863007093,1987.002014084981,81.7079804180589,-1570.0,44633,21.09,5.21,11024,0.0,0,0.0,0.0,0.0,49970,87124,11085
2012-03-06,73451.0,74079.0,71411.0,73139.0,149264.0,73390.2,72700.50238801613,70609.20366264423,-251.1999999999971,60.82816831735082,59.86811129939566,1719.1861014595343,48.98569570871262,157.0,44633,21.14,5.22,11024,0.0,0,0.0,0.0,0.0,49970,87117,11117
2012-03-07,73453.0,74081.0,72511.0,73924.0,116610.0,73578.6,72904.4186566801,70767.05110728022,345.3999999999942,59.75489803193272,59.28535814754554,1689.9737699883262,30.56637168141593,785.0,44633,21.36,5.28,11024,0.0,0,0.0,0.0,0.0,49970,87124,11148
2012-03-08,73924.0,74081.0,71256.0,71256.0,213742.0,73170.6,72629.68221390009,70790.33438788592,-1914.6000000000058,46.38403990024938,55.65570208317762,983.4655773552659,13.64228819695873,-2668.0,44633,20.59,5.09,11024,0.0,0,0.0,0.0,0.0,50080,87177,11085
2012-03-09,71882.0,73765.0,71568.0,73139.0,165313.0,72888.0,72714.5685115834,70902.17560751039,251.0,49.760544557975756,51.96649416338593,974.4299825177004,12.503318290416772,1883.0,44633,21.14,5.22,11024,0.0,0,0.0,0.0,0.0,50060,87152,11076
2012-03-12,72824.0,75962.0,72667.0,75807.0,152464.0,73453.0,73229.97375965283,71135.73867381942,2354.0,55.903811706878,50.682798721701026,1573.283751265917,42.860393673910565,2668.0,44633,21.91,5.41,11024,0.0,0,0.0,0.0,0.0,50120,87218,11134
2012-03-13,76119.0,77218.0,74864.0,74865.0,147993.0,73798.2,73502.47813304402,71313.32254649469,1066.800000000003,74.63152588646066,60.09862738377146,1660.265905391323,61.40174379610999,-942.0,44633,21.63,5.34,11024,0.0,0,0.0,0.0,0.0,50160,87237,11112
2012-03-14,74865.0,76121.0,73924.0,74081.0,150100.0,73829.6,73598.89844420335,71445.11671094732,251.39999999999418,68.20771292749437,66.24768350694433,1473.3578108831134,57.689008699914226,-784.0,44633,21.41,5.29,11024,0.0,0,0.0,0.0,0.0,50060,87120,11162
2012-03-15,74081.0,75179.0,73767.0,74395.0,102523.0,74457.4,73731.58203683613,71585.58734375935,-62.39999999999418,52.65073489029339,65.16332456808279,1388.6082360723376,84.74082073434126,314.0,44633,21.5,5.31,11024,0.0,0,0.0,0.0,0.0,49895,87088,11176
2012-03-16,74395.0,75022.0,73767.0,73767.0,112125.0,74583.0,73737.48503069677,71689.46413691367,-816.0,40.52977952840562,53.79607578206444,1143.8828342476627,100.0,-628.0,44633,21.32,5.27,11024,0.0,0,0.0,0.0,0.0,49800,86977,11162
2012-03-19,73766.0,75491.0,73766.0,74865.0,110405.0,74394.6,73925.40419224731,71840.68013039397,470.3999999999942,35.347508886569315,42.84267443508943,1221.3855177741207,85.70995145631068,1098.0,44633,21.63,5.34,11024,0.0,0,0.0,0.0,0.0,49640,86930,11126
2012-03-20,74708.0,77063.0,74395.0,75023.0,197828.0,74426.2,74108.33682687276,71992.21917180378,596.8000000000029,31.377565709478855,35.751618041484576,1266.9780723528092,81.25,158.0,44633,21.68,5.35,11024,0.0,0,0.0,0.0,0.0,49680,86925,11144
2012-03-21,75492.0,78317.0,75021.0,78318.0,190475.0,75273.6,74809.9473557273,72293.44683028931,3044.399999999994,56.66138611525048,41.128820237099525,2038.7806267858978,89.65289982425307,3295.0,44633,22.63,5.59,11024,0.0,0,0.0,0.0,0.0,49550,86886,11179
2012-03-22,78632.0,78789.0,73767.0,76749.0,212445.0,75744.4,75133.12279643942,72505.61602884695,1004.6000000000058,65.84478750554881,51.29457977675937,2066.017703212652,88.67652362062748,-1569.0,44633,22.18,5.48,11024,0.0,0,0.0,0.0,0.0,49500,86902,11189
2012-03-23,75964.0,78789.0,75807.0,77377.0,152952.0,76466.4,75507.10233036618,72737.58669413996,910.6000000000058,77.09936766520384,66.53518042866769,2166.382361907745,91.66445447305549,628.0,44633,22.36,5.52,11024,0.0,0,0.0,0.0,0.0,49540,86861,11238
2012-03-26,78474.0,80828.0,65918.0,78789.0,248607.0,77251.2,76054.08527530514,73025.74923251425,1537.800000000003,72.53358138523,71.82591218532752,2494.336208044231,100.0,1412.0,44633,22.77,5.62,11024,0.0,0,0.0,0.0,0.0,49650,86944,11300
