date,open,high,low,close,volume,sma5,ema5,ema20,disparity,Slow_k,Slow_d,MACD,RSI,Diff,BPS,PER,PBR,EPS,DIV,DPS,3,6,9,KODEX국채선물10년,TIGER 국채3년,KOSEF 미국달러선물
2012-01-20,26554.0,26554.0,25490.0,25671.0,138539.0,26156.6,25889.62008439024,26262.766527044074,-485.59999999999854,60.993433095836,69.86610393818985,102.03136547603935,90.18075232046898,-622.0,26292,15.16,4.86,8437,0.59,749,0.0,0.0,0.0,49960,86983,11230
2012-01-25,25792.0,25792.0,25209.0,25230.0,132331.0,26016.2,25779.683403658535,26213.5871686134,-786.2000000000007,36.454435817112696,58.734532884904446,-91.73235948785441,53.597122302158276,-441.0,26292,14.9,4.78,8437,0.6,749,0.0,0.0,0.0,49960,87000,11153
2012-01-26,25249.0,25831.0,25249.0,25591.0,60287.0,25815.6,25748.236169715445,26183.94016058419,-224.59999999999854,20.25605345339877,39.23464078878252,-119.74119805375813,30.157566874312934,361.0,26292,15.11,4.85,8437,0.59,749,0.0,0.0,0.0,49930,87052,11103
2012-01-27,25490.0,26213.0,25470.0,25892.0,82876.0,25735.4,25772.196808096203,26170.03824817542,156.59999999999854,25.038854519823413,27.24978126344499,-61.16744359974473,28.098327074086725,301.0,26292,15.29,4.91,8437,0.58,749,0.0,0.0,0.0,50000,87088,11122
2012-01-30,25912.0,26554.0,25912.0,26334.0,98032.0,25743.6,25865.8306734135,26177.84595064326,590.4000000000015,52.44851494063625,32.58114097128618,81.34267634393836,21.094042712626447,442.0,26292,15.55,4.99,8437,0.57,749,0.0,0.0,0.0,50130,87136,11167
2012-01-31,26333.0,26694.0,26012.0,26474.0,143038.0,25904.2,25967.192227844585,26191.948524422154,569.7999999999993,72.03158128264147,49.83965024770041,198.0521875371487,28.610169491525426,140.0,26292,15.63,5.02,8437,0.57,749,0.0,0.0,0.0,50180,87132,11126
2012-02-01,26233.0,26413.0,25831.0,25932.0,60816.0,26044.6,25961.326856537155,26179.570023259195,-112.59999999999854,72.03158128264145,65.5038925019731,133.11341055726734,52.40677966101695,-542.0,26292,15.31,4.91,8437,0.58,749,0.0,0.0,0.0,50230,87162,11157
2012-02-02,26092.0,26092.0,24747.0,24908.0,249589.0,25908.0,25785.77238044763,26119.01906977066,-1000.0,46.90691772309668,63.656693429459914,-154.0913568451142,58.78326996197719,-1024.0,26292,14.71,4.72,8437,0.6,749,0.0,0.0,0.0,50180,87152,11072
2012-02-03,25008.0,25169.0,24266.0,24547.0,202851.0,25639.0,25579.310317039693,26044.161018829203,-1092.0,22.36962645049513,47.10270848541112,-408.38657029909155,43.25685506435366,-361.0,26292,14.5,4.65,8437,0.61,749,0.0,0.0,0.0,50190,87177,11072
2012-02-06,24688.0,24688.0,22901.0,22982.0,365604.0,24968.6,25146.425264199745,25898.34382745638,-1986.5999999999985,7.32598538401286,25.53417651920159,-921.4253793570715,21.859114015976772,-1565.0,26292,13.57,4.35,8437,0.65,749,0.0,0.0,0.0,50120,87113,11098
2012-02-07,23121.0,23443.0,22720.0,23443.0,187702.0,24362.4,24862.52105349979,25781.422692815602,-919.4000000000015,11.09546778599743,13.597026540168507,-1091.8638553172204,7.70328102710414,461.0,26292,13.84,4.44,8437,0.64,749,0.0,0.0,0.0,50060,87108,11076
2012-02-08,23142.0,23784.0,23142.0,23644.0,116525.0,23904.8,24659.434211249827,25679.64065982438,-260.7999999999993,16.371742407309487,11.597731859106625,-1112.1485279497829,0.0,201.0,26292,13.96,4.48,8437,0.64,749,0.0,0.0,0.0,49980,87041,11049
2012-02-09,23664.0,23744.0,22941.0,23042.0,110730.0,23531.6,24389.86184270819,25554.03872364227,-489.59999999999854,20.042646066672685,15.836618753326567,-1232.4107581741919,0.0,-602.0,26292,13.61,4.37,8437,0.65,749,0.0,0.0,0.0,50050,87049,11044
2012-02-10,23122.0,23684.0,22640.0,23584.0,116984.0,23339.0,24255.55153559016,25460.22735584978,245.0,28.88136966537293,21.7652527131184,-1136.7781110659198,0.0,542.0,26292,13.93,4.47,8437,0.64,749,0.0,0.0,0.0,50010,87072,11122
2012-02-13,23664.0,24166.0,23262.0,24126.0,99673.0,23567.8,24233.9596129918,25396.692719856932,558.2000000000007,52.20691392859064,33.71030988687878,-913.959114046138,12.311665949203615,542.0,26292,14.25,4.57,8437,0.62,749,0.0,0.0,0.0,49980,87049,11112
2012-02-14,24186.0,24427.0,24005.0,24146.0,87267.0,23708.4,24219.299677493167,25337.13592367327,437.59999999999854,75.91594659643225,52.334743396798636,-745.7838741279811,26.522113727742678,20.0,26292,14.26,4.58,8437,0.62,749,0.0,0.0,0.0,50020,87080,11122
2012-02-15,24185.0,24185.0,23081.0,23142.0,269881.0,23608.0,24039.74973124431,25232.605641593593,-466.0,69.91528790402411,66.01271614301571,-859.7167810304236,35.67014291232135,-1004.0,26292,13.67,4.39,8437,0.65,749,0.0,0.0,0.0,50000,87052,11107
2012-02-16,23142.0,23262.0,22981.0,23082.0,124012.0,23616.0,23880.124776036922,25130.195849136755,-534.0,45.70042902443577,63.84388784163073,-915.4313350023585,56.294749403341285,-60.0,26292,13.63,4.37,8437,0.65,749,0.0,0.0,0.0,50050,87136,11197
2012-02-17,23162.0,23222.0,22680.0,22721.0,208836.0,23443.4,23686.937313364106,25015.4722372731,-722.4000000000015,18.390948557107603,44.66888849518919,-1005.9280077155163,58.025830258302584,-361.0,26292,13.42,4.31,8437,0.66,749,0.0,0.0,0.0,49990,87099,11134
2012-02-20,22580.0,22820.0,21978.0,22259.0,243682.0,23070.0,23448.947761136755,24884.211654545812,-811.0,12.85171426598504,25.647697282509498,-1138.579079900741,18.69182389937106,-462.0,26292,13.14,4.22,8437,0.68,749,0.0,0.0,0.0,49940,87052,11130
2012-02-21,22299.0,22921.0,22138.0,22761.0,116727.0,22793.0,23334.289800947292,24783.106337662677,-32.0,16.432991961117796,15.891884928070175,-1062.921660587046,0.8589220528237007,502.0,26292,13.44,4.31,8437,0.66,749,0.0,0.0,0.0,50000,87108,11126
2012-02-22,22761.0,23042.0,22419.0,22982.0,171099.0,22761.0,23275.574834122745,24697.33936920255,221.0,41.715080644818855,23.666595623973922,-930.9244343157006,0.9269988412514465,221.0,26292,13.57,4.35,8437,0.65,749,0.0,0.0,0.0,49950,87095,11148
2012-02-23,22780.0,23342.0,22600.0,23162.0,165860.0,22777.0,23256.64569510229,24624.227970669093,385.0,66.82489664887741,41.65765641827138,-778.8967602372431,1.8369690011480913,180.0,26292,13.68,4.39,8437,0.65,749,0.0,0.0,0.0,50020,87157,11184
2012-02-24,23423.0,23804.0,23162.0,23684.0,234727.0,22969.6,23327.871412585242,24579.455210161042,714.4000000000015,86.14164132250953,64.89387287206863,-538.1849326903284,23.41189674523008,522.0,26292,13.99,4.49,8437,0.63,749,0.0,0.0,0.0,50020,87167,11157
2012-02-27,23663.0,23683.0,23061.0,23443.0,109239.0,23206.4,23347.059510487703,24525.33829539147,236.59999999999854,86.1877033610321,79.71808044413972,-433.28938805282087,59.04029692470837,-241.0,26292,13.84,4.44,8437,0.64,749,0.0,0.0,0.0,50110,87193,11184
2012-02-28,23643.0,23643.0,22780.0,22881.0,143945.0,23230.4,23269.382925406422,24447.036471801403,-349.40000000000146,68.37233058117813,80.23389175490662,-490.0733646824847,93.61786996410052,-562.0,26292,13.51,4.34,8437,0.66,749,0.0,0.0,0.0,50140,87227,11148
2012-02-29,22700.0,22880.0,22318.0,22620.0,211694.0,23158.0,23161.152437838686,24360.034735048954,-538.0,44.00391601996006,66.18798332072346,-570.9089898025159,86.63713547434477,-261.0,26292,13.36,4.29,8437,0.66,749,0.0,0.0,0.0,50155,87231,11076
2012-03-02,22680.0,22740.0,22339.0,22580.0,167451.0,23041.6,23064.293698198904,24275.271176237096,-461.59999999999854,23.77054676377845,45.382264454972244,-611.0667005161049,70.60105886016817,-40.0,26292,13.33,4.28,8437,0.67,749,0.0,0.0,0.0,50050,87162,11059
2012-03-05,22579.0,23021.0,22338.0,22379.0,99737.0,22780.6,22950.07808183242,24184.972548797232,-401.59999999999854,14.141034679392718,27.305165821043772,-663.7470117237899,36.7013791162398,-201.0,26292,13.22,4.24,8437,0.67,749,0.0,0.0,0.0,49970,87124,11085
2012-03-06,22339.0,22620.0,22218.0,22299.0,74804.0,22551.8,22841.565068193686,24095.16433218784,-252.79999999999927,9.26143325321624,15.724338232129165,-693.4987228737045,3.4158838599487638,-80.0,26292,13.17,4.23,8437,0.67,749,0.0,0.0,0.0,49970,87117,11117
2012-03-07,22138.0,22460.0,21717.0,22460.0,183295.0,22467.6,22777.970890161407,24017.29936398842,-7.599999999998545,22.3772008675141,15.259889600041049,-651.0950336348105,0.0,161.0,26292,13.26,4.26,8437,0.67,749,0.0,0.0,0.0,49970,87124,11148
2012-03-08,22379.0,22901.0,22238.0,22841.0,171238.0,22511.8,22788.475741801176,23961.285108560398,329.2000000000007,49.619685717360916,27.08610661269711,-514.134235883259,6.016879934658306,381.0,26292,13.49,4.33,8437,0.66,749,0.0,0.0,0.0,50080,87177,11085
2012-03-09,23042.0,23202.0,22881.0,23002.0,111380.0,22596.2,22824.063118167647,23915.60486529562,405.7999999999993,76.56894438591785,49.52194365693098,-376.86790594158447,18.303444349558774,161.0,26292,13.58,4.36,8437,0.65,749,0.0,0.0,0.0,50060,87152,11076
